name,category,Carbohydrates,Glycemic Index,Protein,Fiber,Fat
White bread,grains,49,75,9,2.7,3.2
Whole wheat bread,grains,41,51,13,7,3.4
White rice,grains,28,73,2.7,0.4,0.3
Brown rice,grains,23,50,2.6,1.8,0.9
Pearl barley,grains,28,28,2.3,3.8,0.4
Buckwheat,grains,20,54,3.4,2.7,1.0
Oatmeal,grains,12,55,2.5,1.7,1.5
Quinoa,grains,21,53,4.4,2.8,1.9
Spaghetti (boiled),grains,25,50,5.8,1.8,0.9
Corn flakes,grains,84,81,7,3,0.9
Potato (boiled),vegetables,17,78,2,1.8,0.1
Sweet potato (boiled),vegetables,20,63,1.6,3,0.1
Carrot (raw),vegetables,10,16,0.9,2.8,0.2
Carrot (boiled),vegetables,6,39,0.6,2.2,0.2
Broccoli,vegetables,7,15,2.8,2.6,0.4
Tomato,vegetables,3.9,15,0.9,1.2,0.2
Cucumber,vegetables,3.6,15,0.7,0.5,0.1
Cabbage,vegetables,5.8,15,1.3,2.5,0.1
Spinach,vegetables,3.6,15,2.9,2.2,0.4
Onion,vegetables,9.3,15,1.1,1.7,0.1
Apple,fruits,14,36,0.3,2.4,0.2
Banana,fruits,23,51,1.1,2.6,0.3
Orange,fruits,12,43,0.9,2.4,0.1
Grapes,fruits,18,59,0.6,0.9,0.2
Watermelon,fruits,8,76,0.6,0.4,0.2
Strawberries,fruits,8,40,0.7,2,0.3
Mango,fruits,15,51,0.8,1.6,0.4
Pineapple,fruits,13,59,0.5,1.4,0.1
Dates (dried),fruits,75,42,2.5,8,0.4
Raisins,fruits,79,64,3.1,3.7,0.5
Milk (whole),dairy,4.8,39,3.4,0,3.6
Yogurt (plain),dairy,4.7,35,3.5,0,3.3
Greek yogurt,dairy,3.6,20,9.8,0,5
Cheddar cheese,dairy,1.3,0,25,0,33
Cottage cheese,dairy,3.4,30,11,0,4.3
Chicken breast,protein,0,0,31,0,3.6
Beef (lean),protein,0,0,26,0,15
Salmon,protein,0,0,20,0,13
Eggs,protein,1.1,0,13,0,11
Lentils (boiled),legumes,20,32,9,8,0.4
Chickpeas (boiled),legumes,27,28,9,8,2.6
Black beans (boiled),legumes,24,30,9,9,0.5
Almonds,nuts,22,15,21,12.5,49
Walnuts,nuts,14,15,15,7,65
Peanuts,nuts,16,14,26,8.5,49
Honey,sweets,82,61,0.3,0.2,0
Sugar (white),sweets,100,65,0,0,0
Dark chocolate (70%),sweets,46,23,8,11,43
Milk chocolate,sweets,57,70,8,3,30
Ice cream,sweets,24,57,3.5,0.7,11
Soda (cola),sweets,11,63,0,0,0
Potato chips,snacks,53,56,6.6,4.8,35
Popcorn (plain),snacks,78,65,11,15,5
Hummus,legumes,14,6,8,6,10
Avocado,fruits,9,15,2,7,15
